#Time,Field (G)
00:00:00.000,0.0
00:00:00.240,0.0
00:00:00.497,-0.3
00:00:00.736,0.0
00:00:00.993,0.0
00:00:01.248,0.2
00:00:01.488,0.2
00:00:01.744,-0.2
00:00:01.999,-0.2
00:00:02.240,-0.1
00:00:02.495,0.1
00:00:02.752,0.1
00:00:02.991,-0.3
00:00:03.247,-0.3
00:00:03.487,-0.1
00:00:03.743,-0.1
00:00:03.998,0.1
00:00:04.238,-0.3
00:00:04.494,-0.3
00:00:04.751,0.6
00:00:04.990,0.6
00:00:05.246,1.6
00:00:05.502,1.3
00:00:05.742,1.3
00:00:05.997,1.5
00:00:06.237,1.5
00:00:06.493,1.5
00:00:06.749,1.5
00:00:06.989,1.3
00:00:07.245,1.2
00:00:07.500,1.2
00:00:07.741,1.3
00:00:07.997,1.3
00:00:08.237,1.3
00:00:08.492,1.3
00:00:08.748,1.3
00:00:08.988,1.3
00:00:09.244,1.3
00:00:09.499,1.3
00:00:09.739,1.3
00:00:09.996,1.2
00:00:10.251,1.2
00:00:10.490,1.3
00:00:10.747,1.4
00:00:10.987,1.4
00:00:11.243,1.4
00:00:11.499,1.4
00:00:11.738,1.4
00:00:11.994,1.4
00:00:12.250,1.5
00:00:12.490,1.5
00:00:12.746,1.5
00:00:13.002,1.3
00:00:13.242,1.3
00:00:13.497,1.2
00:00:13.737,1.6
00:00:13.993,1.6
00:00:14.249,1.4
00:00:14.489,1.4
00:00:14.744,1.6
00:00:15.001,1.6
00:00:15.240,1.4
00:00:15.496,1.4
00:00:15.737,1.4
00:00:15.992,1.5
00:00:16.248,1.5
00:00:16.487,1.5
00:00:16.744,1.5
00:00:16.999,1.4
00:00:17.239,1.3
00:00:17.495,1.3
00:00:17.752,1.3
00:00:17.991,1.3
00:00:18.246,1.4
00:00:18.486,1.4
00:00:18.743,1.5
00:00:18.998,1.3
00:00:19.238,1.3
00:00:19.494,1.4
00:00:19.750,1.4
00:00:19.989,1.1
00:00:20.246,1.3
00:00:20.502,1.3
00:00:20.741,1.3
00:00:20.997,1.3
00:00:21.237,1.5
00:00:21.493,1.5
00:00:21.749,1.7
00:00:21.988,1.7
00:00:22.244,1.7
00:00:22.500,1.6
00:00:22.740,1.6
00:00:22.996,1.4
00:00:23.251,1.4
00:00:23.492,1.4
00:00:23.747,1.4
00:00:23.987,1.4
00:00:24.243,1.3
00:00:24.499,1.3
00:00:24.739,1.3
00:00:24.995,1.3
00:00:25.251,1.2
00:00:25.490,1.4
00:00:25.747,1.4
00:00:26.002,1.3
00:00:26.242,1.3
00:00:26.498,1.5
00:00:26.737,1.6
00:00:26.994,1.6
00:00:27.249,1.7
00:00:27.489,1.7
00:00:27.745,1.7
00:00:28.001,1.7
00:00:28.241,1.5
00:00:28.497,1.4
00:00:28.737,1.4,21
00:00:28.992,1.4
00:00:29.248,1.4
00:00:29.488,1.6
00:00:29.744,1.6
00:00:30.000,1.6
00:00:30.240,1.5,20
00:00:30.495,1.5
00:00:30.751,1.4
00:00:30.992,1.4
00:00:31.247,1.5,19
00:00:31.487,1.5
00:00:31.743,1.6
00:00:31.999,1.7
00:00:32.238,1.7
00:00:32.494,2.0
00:00:32.751,2.0
00:00:32.990,2.2
00:00:33.246,2.2,18
00:00:33.502,2.3
00:00:33.742,2.6
00:00:33.998,2.6
00:00:34.238,2.5
00:00:34.493,2.5
00:00:34.749,2.6
00:00:34.989,2.7
00:00:35.245,2.7,17
00:00:35.501,3.0
00:00:35.741,3.0
00:00:35.996,2.9
00:00:36.236,2.9,16
00:00:36.492,2.8
00:00:36.748,3.1
00:00:36.988,3.1
00:00:37.244,3.2
00:00:37.499,3.2
00:00:37.739,3.1
00:00:37.995,3.1
00:00:38.251,3.3,15
00:00:38.491,3.6
00:00:38.747,3.6
00:00:38.987,3.8
00:00:39.242,3.8,14
00:00:39.499,4.0
00:00:39.738,4.0
00:00:39.994,4.0
00:00:40.250,4.1
00:00:40.490,4.1
00:00:40.745,4.6
00:00:41.001,4.6
00:00:41.241,4.9,13
00:00:41.497,4.7
00:00:41.737,4.7
00:00:41.993,5.1
00:00:42.248,5.1,12
00:00:42.489,5.4
00:00:42.745,5.4
00:00:43.000,5.6
00:00:43.240,5.8,11
00:00:43.496,5.8
00:00:43.752,6.5
00:00:43.992,6.5
00:00:44.248,6.8,10
00:00:44.488,6.8
00:00:44.744,7.1
00:00:44.999,7.7
00:00:45.239,7.7,9
00:00:45.494,8.0
00:00:45.751,8.0
00:00:45.991,8.6
00:00:46.247,9.1
00:00:46.487,9.1
00:00:46.742,9.3
00:00:46.998,9.3
00:00:47.238,10.0,8
00:00:47.493,10.0
00:00:47.750,10.4
00:00:47.989,11.0
00:00:48.245,11.0
00:00:48.501,11.3
00:00:48.741,11.3
00:00:48.996,12.0
00:00:49.236,12.0,7
00:00:49.492,12.8
00:00:49.748,14.1
00:00:49.988,14.1
00:00:50.244,15.2,6
00:00:50.500,15.2
00:00:50.740,17.2
00:00:50.996,17.2
00:00:51.251,18.3,5
00:00:51.491,20.3
00:00:51.747,20.3
00:00:51.987,22.3
00:00:52.243,22.3,4
00:00:52.499,23.4
00:00:52.738,27.1
00:00:52.994,27.1
00:00:53.251,30.6
00:00:53.490,30.6
00:00:53.746,33.3
00:00:54.002,33.3,3
00:00:54.242,37.9
00:00:54.497,41.7
00:00:54.737,41.7
00:00:54.993,44.6
00:00:55.249,44.6,2
00:00:55.489,49.6
00:00:55.745,55.9
00:00:56.000,55.9
00:00:56.241,60.6,1
00:00:56.496,60.6
00:00:56.753,70.7
00:00:56.992,70.7
00:00:57.248,85.1
00:00:57.488,95.2
00:00:57.744,95.2
00:00:57.999,117.2
00:00:58.239,117.2,0
00:00:58.495,142.6
00:00:58.751,142.6
00:00:58.990,165.0
00:00:59.247,165.1
00:00:59.487,165.1
00:00:59.743,164.3
00:00:59.998,164.3
00:01:00.239,162.9
00:01:00.494,139.5
00:01:00.750,139.5
00:01:00.989,120.5
00:01:01.245,120.5,1
00:01:01.501,105.1
00:01:01.742,105.1
00:01:01.997,96.8
00:01:02.237,79.7
00:01:02.493,79.7
00:01:02.749,77.5
00:01:02.988,77.5
00:01:03.245,76.0,2
00:01:03.500,76.0
00:01:03.740,67.2
00:01:03.997,63.7
00:01:04.252,63.7,3
00:01:04.492,56.8
00:01:04.748,56.8
00:01:04.987,49.5
00:01:05.243,46.1
00:01:05.499,46.1
00:01:05.739,40.3
00:01:05.995,40.3
00:01:06.251,36.3,4
00:01:06.491,36.3
00:01:06.747,34.3
00:01:07.002,31.4
00:01:07.242,31.4,5
00:01:07.498,29.3
00:01:07.738,29.3
00:01:07.994,26.5
00:01:08.249,26.5
00:01:08.489,24.5
00:01:08.745,23.3
00:01:09.002,23.3,6
00:01:09.241,22.0
00:01:09.497,22.0
00:01:09.737,19.7
00:01:09.993,18.4
00:01:10.248,18.4,7
00:01:10.489,17.0
00:01:10.744,17.0
00:01:11.000,15.2
00:01:11.240,15.2,8
00:01:11.496,14.7
00:01:11.752,14.0
00:01:11.992,14.0
00:01:12.248,12.5
00:01:12.487,12.5
00:01:12.743,11.5
00:01:12.999,11.5
00:01:13.239,11.1,9
00:01:13.494,9.7
00:01:13.750,9.7
00:01:13.991,9.2
00:01:14.246,9.2,10
00:01:14.502,8.3
00:01:14.742,7.7
00:01:14.998,7.7
00:01:15.237,7.4
00:01:15.494,7.4
00:01:15.749,6.8
00:01:15.989,6.8
00:01:16.245,6.1,11
00:01:16.501,5.8
00:01:16.741,5.8
00:01:16.997,5.7
00:01:17.252,5.7,12
00:01:17.492,5.2
00:01:17.748,5.2
00:01:17.988,5.0
00:01:18.244,4.6,13
00:01:18.499,4.6
00:01:18.740,4.4
00:01:18.995,4.4
00:01:19.251,4.4
00:01:19.491,4.4
00:01:19.746,3.8
00:01:20.003,3.9,14
00:01:20.242,3.9
00:01:20.498,3.7
00:01:20.738,3.7
00:01:20.995,3.4
00:01:21.250,3.2,15
00:01:21.490,3.2
00:01:21.746,3.3
00:01:22.001,3.3
00:01:22.242,3.3,16
00:01:22.497,3.3
00:01:22.737,3.0
00:01:22.993,2.9
00:01:23.249,2.9
00:01:23.489,2.8
00:01:23.744,2.8
00:01:24.000,2.7
00:01:24.241,2.7,17
00:01:24.496,2.4
00:01:24.752,2.4
00:01:24.992,2.4
00:01:25.248,2.3,18
00:01:25.488,2.3
00:01:25.743,2.2
00:01:25.999,2.2
00:01:26.239,2.0,19
00:01:26.495,1.9
00:01:26.751,1.9
00:01:26.991,1.6
00:01:27.246,1.6
00:01:27.502,1.1
00:01:27.742,1.4
00:01:27.998,1.4
00:01:28.238,1.2,20
00:01:28.494,1.2
00:01:28.750,1.4
00:01:28.990,1.4
00:01:29.245,1.4,21
00:01:29.501,1.3
00:01:29.741,1.3
00:01:29.997,1.2
00:01:30.237,1.2
00:01:30.493,1.3
00:01:30.749,1.3
00:01:30.988,1.4
00:01:31.245,1.5
00:01:31.500,1.5
00:01:31.740,1.3
00:01:31.996,1.3
00:01:32.252,1.3
00:01:32.492,1.3
00:01:32.748,1.6
00:01:32.988,1.5
00:01:33.243,1.5
00:01:33.499,1.3
00:01:33.739,1.3
00:01:33.995,1.2
00:01:34.251,1.6
00:01:34.490,1.6
00:01:34.746,1.4
00:01:35.002,1.4
00:01:35.242,1.2
00:01:35.498,1.2
00:01:35.738,1.4
00:01:35.994,1.4
00:01:36.249,1.4
00:01:36.489,1.4
00:01:36.746,1.4
00:01:37.001,1.5
00:01:37.241,1.5
00:01:37.496,1.3
00:01:37.753,1.4
00:01:37.993,1.4
00:01:38.248,1.3
00:01:38.488,1.3
00:01:38.744,1.4
00:01:39.000,1.4
00:01:39.240,1.3
00:01:39.496,1.4
00:01:39.752,1.4
00:01:39.992,1.3
00:01:40.248,1.3
00:01:40.487,1.3
00:01:40.743,1.5
00:01:40.999,1.5
00:01:41.239,1.4
00:01:41.494,1.4
00:01:41.750,1.2
00:01:41.990,1.2
00:01:42.246,1.2
00:01:42.502,1.5
00:01:42.742,1.5
00:01:42.998,1.4
00:01:43.238,1.4
00:01:43.493,1.3
00:01:43.749,1.3
00:01:43.989,1.0
00:01:44.244,1.1
00:01:44.500,1.1
00:01:44.740,1.2
00:01:44.996,1.2
00:01:45.252,1.4
00:01:45.492,1.4
00:01:45.748,1.4
00:01:45.988,1.1
00:01:46.244,1.1
00:01:46.499,-0.2
00:01:46.739,-0.2
00:01:46.995,0.3
00:01:47.250,0.3
00:01:47.491,-0.1
00:01:47.746,-0.2
00:01:48.002,-0.2
00:01:48.242,-0.1
00:01:48.498,-0.1
00:01:48.738,0.0
00:01:48.994,-0.1
00:01:49.250,-0.1
00:01:49.490,-0.4
00:01:49.746,-0.4
00:01:50.002,0.0
00:01:50.241,0.0
00:01:50.497,0.0
00:01:50.753,-0.3
00:01:50.993,-0.3
00:01:51.249,0.0
00:01:51.488,0.0
00:01:51.745,0.1
00:01:52.000,0.1
00:01:52.240,-0.3
