z_pos,x_pos,y_pos,time,flux,err_byte
0.000,0.000,0.000,0.250,569.900,7.762
0.000,0.000,0.000,0.500,569.900,8.012
0.000,0.000,0.000,0.750,569.800,8.261
0.000,0.000,0.000,1.000,569.800,8.511
0.000,0.000,0.000,1.250,569.700,8.761
0.000,0.000,0.000,1.500,569.800,9.011
0.000,0.000,0.000,1.750,569.800,9.262
0.000,0.000,0.000,2.000,570.200,9.511
0.000,0.000,0.000,2.250,570.200,9.760
0.000,0.000,0.000,2.500,569.900,10.011
0.000,0.000,0.000,2.750,569.800,10.260
0.000,0.000,0.000,3.000,569.800,10.510
0.000,0.000,0.000,3.250,575.400,10.759
0.000,0.000,0.000,3.500,575.400,11.009
0.000,0.000,0.000,3.750,603.000,11.259
0.000,0.000,0.000,4.000,635.200,11.509
0.000,0.000,0.000,4.250,635.200,11.760
0.000,0.000,0.000,4.500,669.500,12.010
0.000,0.000,0.000,4.750,669.500,12.260
0.000,0.000,0.000,5.000,706.400,12.510
0.000,0.000,0.000,5.250,831.600,13.754
0.000,0.000,0.000,5.500,831.600,14.005
0.000,0.000,0.000,5.750,879.100,14.254
0.000,0.000,0.000,6.000,930.600,14.504
0.000,0.000,0.000,6.250,930.600,14.756
0.000,0.000,0.000,6.500,985.200,15.005
0.000,0.000,0.000,6.750,985.200,15.255
0.000,0.000,0.000,7.000,1043.400,15.506
0.000,0.000,0.000,7.250,1106.100,15.756
0.000,0.000,0.000,7.500,1106.100,16.005
0.000,0.000,0.000,7.750,1172.900,16.256
0.000,0.000,0.000,8.000,1172.900,16.506
0.000,0.000,0.000,8.250,1245.500,16.754
0.000,0.000,0.000,8.500,1322.800,17.004
0.000,0.000,0.000,8.750,1322.800,17.254
0.000,0.000,0.000,9.000,1405.600,17.503
0.000,0.000,0.000,9.250,1405.600,17.754
0.000,0.000,0.000,9.500,1494.900,18.004
0.000,0.000,0.000,9.750,1591.100,18.253
0.000,0.000,0.000,10.000,1591.100,18.502
0.000,0.000,0.000,10.250,1694.000,18.751
0.000,0.000,0.000,10.500,1694.000,19.000
0.000,0.000,0.000,10.750,1804.800,19.250
0.000,0.000,0.000,11.000,1923.900,19.904
0.000,0.000,0.000,11.250,2052.100,20.154
0.000,0.000,0.000,11.500,2189.800,20.404
0.000,0.000,0.000,11.750,2189.800,20.655
0.000,0.000,0.000,12.000,2339.200,20.906
0.000,0.000,0.000,12.250,2339.200,21.156
0.000,0.000,0.000,12.500,2500.200,21.407
0.000,0.000,0.000,12.750,2673.900,21.656
0.000,0.000,0.000,13.000,2673.900,21.905
0.000,0.000,0.000,13.250,2862.600,22.154
0.000,0.000,0.000,13.500,2862.600,22.404
0.000,0.000,0.000,13.750,3065.200,22.654
0.000,0.000,0.000,14.000,3283.500,22.904
0.000,0.000,0.000,14.250,3283.500,23.153
0.000,0.000,0.000,14.500,3520.200,23.403
0.000,0.000,0.000,14.750,3520.200,23.652
0.000,0.000,0.000,15.000,3775.000,23.902
0.000,0.000,0.000,15.250,4051.000,24.152
0.000,0.000,0.000,15.500,4051.000,24.403
0.000,0.000,0.000,15.750,4349.600,24.653
0.000,0.000,0.000,16.000,4349.600,24.904
0.000,0.000,0.000,16.250,4672.600,25.154
0.000,0.000,0.000,16.500,5020.900,25.404
0.000,0.000,0.000,16.750,5020.900,25.653
0.000,0.000,0.000,17.000,5398.000,25.905
0.000,0.000,0.000,17.250,5398.000,26.155
0.000,0.000,0.000,17.500,5806.200,26.406
0.000,0.000,0.000,17.750,5806.200,26.656
0.000,0.000,0.000,18.000,6246.600,26.906
0.000,0.000,0.000,18.250,6724.500,27.155
0.000,0.000,0.000,18.500,6724.500,27.405
0.000,0.000,0.000,18.750,9054.600,29.153
0.000,0.000,0.000,19.000,9756.000,29.403
0.000,0.000,0.000,19.250,10509.100,29.652
0.000,0.000,0.000,19.500,10509.100,29.903
0.000,0.000,0.000,19.750,11321.500,30.153
0.000,0.000,0.000,20.000,11321.500,30.403
0.000,0.000,0.000,20.250,12190.200,30.653
0.000,0.000,0.000,20.500,13118.500,30.903
0.000,0.000,0.000,20.750,13118.500,31.153
0.000,0.000,0.000,21.000,14101.100,31.403
0.000,0.000,0.000,21.250,14101.100,31.652
0.000,0.000,0.000,21.500,15138.900,31.902
0.000,0.000,0.000,21.750,15138.900,32.152
0.000,0.000,0.000,22.000,16235.100,32.401
0.000,0.000,0.000,22.250,17386.900,32.653
0.000,0.000,0.000,22.500,17386.900,32.902
0.000,0.000,0.000,22.750,18585.500,33.151
0.000,0.000,0.000,23.000,18585.500,33.402
0.000,0.000,0.000,23.250,19748.800,33.652
0.000,0.000,0.000,23.500,200093.000,33.902
0.000,0.000,0.000,23.750,200093.000,34.152
0.000,0.000,0.000,24.000,22568.000,34.402
0.000,0.000,0.000,24.250,22568.000,34.652
0.000,0.000,0.000,24.500,23889.000,34.902
0.000,0.000,0.000,24.750,25218.000,35.153
0.000,0.000,0.000,25.000,25218.000,35.402
0.000,0.000,0.000,25.250,26470.000,35.652
0.000,0.000,0.000,25.500,26470.000,35.903
0.000,0.000,0.000,25.750,26853.000,36.153
0.000,0.000,0.000,26.000,26845.000,36.402
0.000,0.000,0.000,26.250,26845.000,36.652
0.000,0.000,0.000,26.500,26844.000,36.902
0.000,0.000,0.000,26.750,26844.000,37.151
0.000,0.000,0.000,27.000,26844.000,38.656
0.000,0.000,0.000,27.250,26844.000,38.906
0.000,0.000,0.000,27.500,26843.000,39.156
0.000,0.000,0.000,27.750,26844.000,39.407
0.000,0.000,0.000,28.000,26844.000,39.657
0.000,0.000,0.000,28.250,26842.000,39.907
0.000,0.000,0.000,28.500,26842.000,40.157
0.000,0.000,0.000,28.750,26844.000,40.407
0.000,0.000,0.000,29.000,26844.000,40.656
0.000,0.000,0.000,29.250,26844.000,40.906
0.000,0.000,0.000,29.500,26845.000,41.157
0.000,0.000,0.000,29.750,26845.000,41.407
0.000,0.000,0.000,30.000,26845.000,41.656
