Current,Position Pendulum,Position probe, Magnetic Field Avg at [Gauss],,,,,,,,
I [A],x [cm],x [mm],Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9
0,20,4.34127,0.2,0.1,0.1,0.2,0.1,0.3,0.2,0.1,0.2
0.2,19.95,4.84127,0.9,1.1,1,1.1,1,1.1,0.9,1,1.1
0.2,19.9,5.34127,1.1,0.9,1.1,1.2,1,1.2,1.1,1,1.2
0.2,19.85,5.84127,1.1,1.2,1.1,1.3,1.2,1.3,1.2,1.3,1.2
0.4,19.85,5.84127,2.3,2.4,2.4,2.3,2.2,2.3,2.1,2,2.5
0.4,19.8,6.34127,2.4,2.3,2.4,2.3,2.2,2.3,2.4,2.3,2.2
0.4,19.75,6.84127,2.4,2.4,2.5,2.3,2.4,2.6,2.4,2.4,2.5
0.6,19.75,6.84127,3.6,3.7,3.6,3.7,3.8,4,3.9,3.7,3.8
0.6,19.7,7.34127,3.9,3.6,3.6,4,3.7,3.9,3.5,4,3.9
0.6,19.65,7.84127,4,4.1,3.9,4,3.9,3.9,3.7,3.9,4
1,19.65,7.84127,5.6,5.7,5.5,5.6,5.8,5.9,5.6,5.7,5.6
1,19.6,8.34127,5.6,5.7,5.7,5.8,5.7,5.8,5.8,5.7,5.8
1,19.55,8.84127,5.7,5.8,5.9,6,5.6,5.9,5.8,5.9,5.7
1.2,19.55,8.84127,7,7.1,7,7.1,7,7,7.1,6.9,6.8
1.2,19.5,9.34127,7.2,7.1,7,7.1,7.2,7.3,7.1,7.2,7.3
1.2,19.45,9.84127,7.2,7.1,7.3,7.5,7.4,7.3,7.4,7.5,7.3
1.4,19.45,9.84127,8.5,8.6,8.7,8.8,8.7,8.8,8.7,8.6,8.9
1.4,19.4,10.34127,8.8,8.9,9,8.8,8.7,8.6,8.9,8.7,8.6
1.4,19.2,10.6046,9,8.8,8.5,8.6,8.7,8.9,9,9.1,9.2
